Number,Site,Season,FAM_mean,VIC_mean,cellnum_C,cellnum_D,D_prop,C_prop,CDratio_log,LBSP
41,Cannery,March,28.39629841,39.89712906,0.119323155,3112.162313,0.999961661,3.83E-05,-10.16899292,High
42,Cannery,March,28.63766957,NA,0,2632.705505,1,0,-20,High
43,Cannery,March,28.22428131,NA,0,3506.263463,1,0,-20,High
44,Cannery,March,26.54036236,NA,0,11265.60869,1,0,-20,High
45,Cannery,March,26.12941647,NA,0,14978.27155,1,0,-20,High
46,Cannery,March,26.93400097,NA,0,8575.464064,1,0,-20,High
47,Cannery,March,25.79186726,NA,0,18926.66689,1,0,-20,High
48,Cannery,March,28.23394203,NA,0,3482.862904,1,0,-20,High
49,Cannery,March,27.43048763,NA,0,6078.553651,1,0,-20,High
50,Faga'itua,July,32.07872963,NA,0,242.4041134,1,0,-20,Moderate
51,Faga'itua,July,29.94865036,39.2844162,0.182460844,1061.103479,0.999828076,0.000171924,-8.668284348,Moderate
52,Faga'itua,July,33.77704239,32.4333992,21.06353684,74.69592373,0.780037014,0.219962986,-1.265882089,Moderate
53,Faga'itua,July,30.74694634,NA,0,610.1641745,1,0,-20,Moderate
54,Faga'itua,July,30.48461247,NA,0,731.8415595,1,0,-20,Moderate
55,Faga'itua,July,31.73646641,38.66539765,0.280228842,307.3063121,0.999088943,0.000911057,-6.999993727,Moderate
56,Faga'itua,July,31.47588253,NA,0,368.1417268,1,0,-20,Moderate
57,Faga'itua,July,NA,35.34665108,2.796115438,NA,NA,NA,20,Moderate
58,Faga'itua,July,33.95209313,39.73065948,0.133917418,66.16089634,0.997979971,0.002020029,-6.202621554,Moderate
59,Faga'itua,July,33.07003784,NA,0,121.9344655,1,0,-20,Moderate
60,Faga'alu,July,35.57182312,NA,0,21.52851465,1,0,-20,Moderate
61,Faga'alu,July,32.91295243,39.83363342,0.124692066,135.9608593,0.999083723,0.000916277,-6.994275097,Moderate
62,Faga'alu,July,30.40241337,NA,0,774.7497827,1,0,-20,Moderate
63,Faga'alu,July,34.99191666,NA,0,32.17979756,1,0,-20,Moderate
64,Faga'alu,July,36.08246231,35.02421952,3.496364229,15.11110954,0.81209893,0.18790107,-1.463706568,Moderate
65,Faga'alu,July,33.2457428,34.42827225,5.284631036,107.9528263,0.953331423,0.046668577,-3.016891535,Moderate
66,Faga'alu,July,30.41818428,NA,0,766.3266777,1,0,-20,Moderate
67,Faga'alu,July,32.26957321,NA,0,212.3686191,1,0,-20,Moderate
68,Faga'alu,July,30.43236351,NA,0,758.8318851,1,0,-20,Moderate
69,Faga'alu,July,31.02765465,NA,0,502.2790704,1,0,-20,Moderate
70,Vatia,July,37.18451309,27.87973786,494.6749876,7.039568063,0.014031022,0.985968978,4.252354143,Moderate
71,Vatia,July,NA,29.87661648,123.9366032,NA,NA,NA,20,Moderate
72,Vatia,July,28.29666901,26.691185,1127.483026,3334.676267,0.747323448,0.252676552,-1.084387866,Moderate
73,Vatia,July,33.4467659,38.42921448,0.330073798,93.91177145,0.996497588,0.003502412,-5.650794759,Moderate
74,Vatia,July,34.47018433,NA,0,46.19983103,1,0,-20,Moderate
75,Vatia,July,32.17668915,37.62237931,0.577421084,226.4911471,0.997457063,0.002542937,-5.971889354,Moderate
76,Vatia,July,27.04862595,38.25263214,0.373050503,7920.490467,0.999952903,4.71E-05,-9.963249882,Moderate
77,Vatia,July,31.63648033,38.87931824,0.241610785,329.3595723,0.99926696,0.00073304,-7.217577254,Moderate
78,Vatia,July,27.76822186,NA,0,4809.856526,1,0,-20,Moderate
79,Vatia,July,35.59952355,NA,0,21.11910008,1,0,-20,Moderate
80,Coconut Point,July,29.47602749,NA,0,1472.418958,1,0,-20,High
81,Coconut Point,July,29.99221134,39.89974976,0.119106598,1029.543206,0.999884325,0.000115675,-9.064606899,High
82,Coconut Point,July,30.13672543,NA,0,931.4113,1,0,-20,High
83,Coconut Point,July,30.27213955,NA,0,847.9647307,1,0,-20,High
84,Coconut Point,July,28.88507748,NA,0,2217.81379,1,0,-20,High
85,Coconut Point,July,30.26270771,NA,0,853.5265911,1,0,-20,High
86,Coconut Point,July,29.76473141,NA,0,1205.376886,1,0,-20,High
87,Coconut Point,July,28.30201054,NA,0,3322.352568,1,0,-20,High
88,Coconut Point,July,NA,NA,0,NA,NA,NA,NA,High
89,Coconut Point,July,30.39010144,NA,0,781.389774,1,0,-20,High
90,Fagamalo_MPA,July,33.29950142,37.81980705,0.503571294,104.0042433,0.995181496,0.004818504,-5.33046168,Low
91,Fagamalo_MPA,July,NA,35.36086464,2.768703106,NA,NA,NA,20,Low
92,Fagamalo_MPA,July,35.13937569,32.66007423,18.00094534,29.05318279,0.617441741,0.382558259,-0.478703764,Low
93,Fagamalo_MPA,July,NA,33.98874093,7.166824734,NA,NA,NA,20,Low
94,Fagamalo_MPA,July,NA,34.57685662,4.767451902,NA,NA,NA,20,Low
95,Fagamalo_MPA,July,36.26916885,34.16670418,6.335115044,13.27675939,0.676975545,0.323024455,-0.739907119,Low
96,Fagamalo_MPA,July,NA,37.07651138,0.842976091,NA,NA,NA,20,Low
97,Fagamalo_MPA,July,NA,38.43862915,0.32792683,NA,NA,NA,20,Low
98,Fagamalo_MPA,July,NA,39.24765587,0.187169742,NA,NA,NA,20,Low
99,Fagamalo_MPA,July,NA,32.42646981,21.16495027,NA,NA,NA,20,Low
100,Fagamalo_Village,July,NA,NA,0,NA,NA,NA,NA,Low
101,Fagamalo_Village,July,NA,38.27885819,0.366330268,NA,NA,NA,20,Low
